,,,target name:,,,Baked Walleye,,,,,,,,,,,,,,,,,,,,,,
,,,english name:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,,,,,,,,,,,,
source:,,,,,,,,,,,,,,,,calculator,,,,,,,,,,,,
region:,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,,,,,,,,,,,,
1),,butter,,,,,,,0.50,,c,,25.00,37.50,,1.50,,,,,,,,,,,,
2),,bread crumbs,,,,,,,0.67,,c,,33.33,50.00,,2.00,,,,,,,,,,,,
3),,Grated Parmesan,,,,,,,0.25,,c,,12.50,18.75,,0.75,,,,,,,,,,,,
4),,basil,,,,,,,0.50,,t,,25.00,37.50,,1.50,,,,,,,,,,,,
5),,oregano,,,,,,,0.50,,t,,25.00,37.50,,1.50,,,,,,,,,,,,
6),,salt,,,,,,,0.50,,t,,25.00,37.50,,1.50,,,,,,,,,,,,
7),,garlic powder,,,,,,,0.25,,t,,12.50,18.75,,0.75,,,,,,,,,,,,
8),,Walleye fillet,,,,,,,1.00,,#,,50.00,75.00,,3.00,,,,,,,,,,,,
9),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
10),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
11),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
12),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
13),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
14),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
15),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
16),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
17),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
18),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
19),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
20),,,,,,,,,,,,, , ,, ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Preheat oven 325.  Melt butter. Combine bread crumbs, cheese, basil, oregano, salt, and garlic.  Dip fish in butter then bread crumbs. Arrange on sheet pan. Bake 25-30 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
