Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Fry Bread,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,school,Unnamed: 17
,,,,,,,,,,,,,,,,BA6,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,global gourmet,,,,,,,,,,,,calculator,
,,,,,,,,,,,,,,,,140,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,enriched AP flour,,,,,,,3,,gal,,0.78125,1.171875,,2.1875,
2),,baking powder,,,,,,,1.25,,c,,0.32552083333333337,0.48828125,,0.9114583333333334,
3),,salt,,,,,,,0.3333333333333333,,c,,0.08680555555555555,0.13020833333333331,,0.24305555555555555,
4),,water,,,,,,,1.125,,gal,,0.29296875,0.439453125,,0.8203125,
5),,,,,,,,,,,,, , ,, ,
6),,,,,,,,,,,,, , ,, ,
7),,,,,,,,,,,,, , ,, ,
8),,,,,,,,,,,,, , ,, ,
9),,,,,,,,,,,,, , ,, ,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,192,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Mix dry ingredients in blender w/ dough hook. Add water slowly.  Knead 2-3 minutes. Roll out to 1/4"" thickeness and cut into ",,,,,,,,,,,,,,,,,
1.66 oz. Servings (see below).  Fry each piece in deep fryer till golden brown.  Keep warmed in oven.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Use #30 scoop for 1 serving, or weigh out on digital scale to .1#, or use oz scale @ 1 2/3 oz.  Makes 192 pieces",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional instructions page…,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
One serving is one piece as weighed out (pre-frying) above.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"One piece provides 2 servings B grain, or 31.25 grams creditable grain per serving.  ",,,,,,,,,,,,,,,,,school
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,BA6
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional comments page…,,,,,,
