Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Fudgy Brownies,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,ONCE UPON A TART,,,,,,,,,,,,calculator,
,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,4 units,12 units,,units,
unsalted butter,,,,,,,,,2,,lbs,,8,24,,4,
semi-sweet chocolate chips,,,,,,,,,3,,c,,12,36,,6,
sugar,,,,,,,,,4,,c,,16,48,,8,
eggs,,,,,,,,,16,,ct,,64,192,,32,
vanilla extract,,,,,,,,,2,,t,,8,24,,4,
all-purpose flour,,,,,,,,,4,,c,,16,48,,8,
salt,,,,,,,,,0.5,,t,,2,6,,1,
"walnuts, coarsely chopped",,,,,,,,,4,,c,,16,48,,8,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many sheets?",,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Melt butter and chocolate together over low heat, stirring constantly to prevent chocolate from sticking and burning.  Even ",,,,,,,,,,,,,,,,,
"slightly burned chocolate will give the brownies a bitter taste.  When the butter and chocolate are combined, add the sugar and ",,,,,,,,,,,,,,,,,
"cook, stirring constantly, for 2 more minutes.  Don't worry if the chocolate appears grainy; the sugar won't dissolve completely, ",,,,,,,,,,,,,,,,,
but this doesn't mean you will end up with grainy-textured brownies.  Remove the pot from the heat and scrape the chocolate,,,,,,,,,,,,,,,,,
"into a big bowl, using a heat-proof rubber spatula.  Allow the chocolate mixture to cool for 10-15 min. before adding the eggs;",,,,,,,,,,,,,,,,,
"otherwise, the heat of the chocolate will cook the eggs, and you'll end up with little scrambled bits of egg in your brownie batter.",,,,,,,,,,,,,,,,,
"Whisk in the eggs one at a time, then whisk in the vanilla.  In a separate, medium-size bowl, stir the flour and salt together to ",,,,,,,,,,,,,,,,,
"mix.  Dump the flour in the bowl with the chocolate, and stir until almost mo flour remains visible.  Stir in the walnuts.  Pour into  ",,,,,,,,,,,,,,,,,
greased sheet pan(s).  Bake at 325° for 15-20 min.  Do not overbake!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional instructions page…,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,continued on additional comments page…,,,,,,
