Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Jerk Chicken,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Salt,,,,,,,1,,t,,8.333333333333332,12.5,,11.666666666666666,
2),,Ground Allspice,,,,,,,1,,t,,8.333333333333332,12.5,,11.666666666666666,
3),,brown sugar -packed,,,,,,,1,,t,,8.333333333333332,12.5,,11.666666666666666,
4),,onion powder,,,,,,,1,,t,,8.333333333333332,12.5,,11.666666666666666,
5),,dried minced garlic,,,,,,,0.5,,t,,4.166666666666666,6.25,,5.833333333333333,
6),,ground nutmeg,,,,,,,0.5,,t,,4.166666666666666,6.25,,5.833333333333333,
7),,black pepper,,,,,,,0.5,,t,,4.166666666666666,6.25,,5.833333333333333,
8),,ground ginger,,,,,,,0.5,,t,,4.166666666666666,6.25,,5.833333333333333,
9),,cayenne pepper,,,,,,,0.25,,t,,2.083333333333333,3.125,,2.9166666666666665,
10),,ground cinnamon,,,,,,,0.25,,t,,2.083333333333333,3.125,,2.9166666666666665,
11),,dried thyme leaves,,,,,,,0.25,,t,,2.083333333333333,3.125,,2.9166666666666665,
12),,chicken thighs,,,,,,,6,,ct,,50,75,,70,
13),,vegtable oil,,,,,,,0.25,,c ,,2.083333333333333,3.125,,2.9166666666666665,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Make the jerk rub by combining the salt, allspice, brown sugar, onion powder, garlic, nutmeg, pepper, ginger, cayenne pepper, cinnamon, and thyme. Toss the chicken thighs with the spice mixture, then cover, and marinate in the refrigerator 2 to 4 hours.                                                                                               Place the chicken pieces skin-side up into the baking dish.                                                                                        Bake @ 350 for 1hr 20min",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
