Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Pot Roast,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Eye of Round,,,,,,,6,,lbs,,20,30,,22,
2),,Butter or Oil,,,,,,,1,,Tbsp,,3.3333333333333335,5,,3.6666666666666665,
3),,Onion - Sliced Thick,,,,,,,1,,ct,,3.3333333333333335,5,,3.6666666666666665,
4),,Beef Broth,,,,,,,1,,gal,,3.3333333333333335,5,,3.6666666666666665,
5),,Red Wine,,,,,,,2,,cup,,6.666666666666667,10,,7.333333333333333,
6),,Rosemary Sprigs,,,,,,,4,,ct,,13.333333333333334,20,,14.666666666666666,
7),,Thyme Sprigs,,,,,,,4,,ct,,13.333333333333334,20,,14.666666666666666,
8),,Black Pepper,,,,,,,1,,tsp,,3.3333333333333335,5,,3.6666666666666665,
9),,Baby Carrots,,,,,,,2,,lbs,,6.666666666666667,10,,7.333333333333333,
10),,Turnips,,,,,,,1,,lbs,,3.3333333333333335,5,,3.6666666666666665,
11),,Rutabaga,,,,,,,1,,lbs,,3.3333333333333335,5,,3.6666666666666665,
12),,Parsnip,,,,,,,1,,lbs,,3.3333333333333335,5,,3.6666666666666665,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,15,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Fry the eye of round in the oil/butter until it is nice and brown.  Remove it and put it in a hotel pan.  Add the onions to the oil/butter and brown those, then add them to the meat.  Add the broth, red wine, rosemary, thyme and black pepper to the hotel pan.  You could also use the wine to deglaze the pan that you fried in before adding it.  You can use dried spices if you don't have fresh.  Cover with foil and put it in the oven at 300 degrees. Bake it for 3 hours.  After the 3 hours, add the carrots, turnips, rutabaga and parsnip and put it back in the oven for 30 more minutes.  When the time is up, remove the meat and let it rest.  Remove the veggies and keep them warm.  Remove the liquid and turn it into gravy.  If you have vegetarians, skip the veggies in the broth and just roast them on a sheet pan. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
